tester_code,task_id,task_description,completed_yes_no,time_seconds,help_needed_yes_no,error_or_confusion,rating_1_5,improvement_note
T06,T10,"Create a tutor profile after approval.",Yes,116,No,,5,"Profile management was easy"
T06,T11,"Manage tutor profile by updating subjects, availability, hourly rate, and experience.",Yes,88,No,,5,"Profile editing was straightforward"
T06,T12,"Open the Tutor Dashboard and approve or reject tutoring requests.",Yes,69,No,,5,"Request actions were clear"
T06,T13,"View payment status, earnings, payment history, and reviews.",Yes,55,No,,5,"Dashboard information was clear"

T07,T9,"Register as a tutor and submit a tutor application.",Yes,135,No,,4,"Separate registration and application more clearly"
T07,T10,"Create a tutor profile after approval.",Yes,124,No,,4,"Add profile preview"
T07,T11,"Manage tutor profile by updating subjects, availability, hourly rate, and experience.",Yes,90,No,,4,"Save confirmation could be clearer"
T07,T12,"Open the Tutor Dashboard and approve or reject tutoring requests.",Yes,76,No,,4,"Show schedule conflicts"
T07,T13,"View payment status, earnings, payment history, and reviews.",Yes,58,No,,4,"Add payment summary"

T08,T9,"Register as a tutor and submit a tutor application.",Yes,142,Yes,"Supporting-information upload was unclear",3,"Explain accepted file types"
T08,T10,"Create a tutor profile after approval.",Yes,131,No,,4,"Make Save Changes button more visible"
T08,T11,"Manage tutor profile by updating subjects, availability, hourly rate, and experience.",Yes,95,No,,4,"Allow profile preview"
T08,T12,"Open the Tutor Dashboard and approve or reject tutoring requests.",Yes,82,No,,4,"Add confirmation before rejection"
T08,T13,"View payment status, earnings, payment history, and reviews.",Yes,61,No,,4,"Display earnings graph"

T09,T14,"Review and approve or reject tutor applications.",Yes,73,No,,5,"Approval workflow was clear"
T09,T15,"Verify student payments and update tutor earnings.",Yes,91,No,,4,"Show commission calculation"
T09,T16,"Manage user accounts.",Yes,66,No,,5,"User management was straightforward"
T09,T17,"Open Dashboard Analytics and explain the displayed information.",Yes,62,No,,5,"Analytics were understandable"

T10,T14,"Review and approve or reject tutor applications.",Yes,79,No,,4,"Add rejection reason field"
T10,T15,"Verify student payments and update tutor earnings.",Yes,98,No,,4,"Separate payment verification and payout"
T10,T16,"Manage user accounts.",Yes,70,No,,4,"Add user search"
T10,T17,"Open Dashboard Analytics and explain the displayed information.",Yes,68,No,,4,"Add date filters"
